60
1 	 1 	 2 	 1 
2 	 2 	 3 	 2 
3 	 4 	 5 	 3 
4 	 5 	 6 	 4 
5 	 6 	 7 	 5 
6 	 8 	 9 	 6 
7 	 9 	 10 	 7 
8 	 10 	 11 	 8 
9 	 11 	 12 	 9 
10 	 1 	 4 	 10 
11 	 1 	 5 	 11 
12 	 2 	 5 	 12 
13 	 2 	 6 	 13 
14 	 3 	 6 	 14 
15 	 3 	 7 	 15 
16 	 4 	 8 	 16 
17 	 4 	 9 	 17 
18 	 5 	 9 	 18 
19 	 5 	 10 	 19 
20 	 6 	 10 	 20 
21 	 6 	 11 	 21 
22 	 7 	 11 	 22 
23 	 7 	 12 	 23 
24 	 19 	 18 	 24 
25 	 18 	 17 	 25 
26 	 16 	 15 	 26 
27 	 15 	 14 	 27 
28 	 14 	 13 	 28 
29 	 19 	 16 	 29 
30 	 19 	 15 	 30 
31 	 18 	 15 	 31 
32 	 18 	 14 	 32 
33 	 17 	 14 	 33 
34 	 17 	 13 	 34 
35 	 16 	 12 	 35 
36 	 16 	 11 	 36 
37 	 15 	 11 	 37 
38 	 15 	 10 	 38 
39 	 14 	 10 	 39 
40 	 14 	 9 	 40 
41 	 13 	 9 	 41 
42 	 13 	 8 	 42 
43 	 1 	 20 	 43 
44 	 2 	 21 	 44 
45 	 3 	 22 	 45 
46 	 3 	 23 	 46 
47 	 7 	 24 	 47 
48 	 12 	 25 	 48 
49 	 12 	 26 	 49 
50 	 16 	 27 	 50 
51 	 19 	 28 	 51 
52 	 17 	 29 	 52 
53 	 18 	 30 	 53 
54 	 19 	 31 	 54 
55 	 8 	 32 	 55 
56 	 13 	 33 	 56 
57 	 17 	 34 	 57 
58 	 1 	 35 	 58 
59 	 4 	 36 	 59 
60 	 8 	 37 	 60 
